State,Year,Aggravated assault,All other offenses (except traffic),Arson,Burglary,Curfew and loitering law violations,Disorderly conduct,Driving under the influence,Drug abuse violations,Drunkenness,Embezzlement,Forcible rape,Forgery and counterfeiting,Fraud,Gambling,Larceny-theft,Liquor laws,Motor vehicle theft,Murder and nonnegligent manslaughter,Offenses against the family and children,Other assaults,Population,Property crime,Prostitution and commercialized vice,Robbery,Runaways,Sex offenses (except forcible rape and prostitution),"Stolen property; buying, receiving, possessing",Suspicion,Total all classes ,Vagrancy,Vandalism,Violent crime,"Weapons; carrying, possessing, etc.",
MINNESOTA ,2009,3991,32761,184,3001,3047,13099,26240,17040,0,51,111,1356,3066,19,26251,25784,1103,103,754,17220,5094567,30539,1087,1214,4060,1444,1862,0,191480,432,4342,5419,1858,
MISSISSIPPI,2009,1160,40364,106,2673,492,8928,12644,13240,6062,733,139,847,2042,163,10191,2181,385,109,3561,12861,2630766,13355,225,657,222,389,755,118,123587,119,1136,2065,1085,
MISSOURI,2009,8856,105040,305,6654,1832,14097,33020,35321,249,221,531,2229,3367,101,35072,12897,2781,388,4515,34915,5943053,44812,569,2394,2867,2342,3083,0,324277,172,6642,12169,3817,
MONTANA,2009,796,5579,31,248,553,3216,4373,1539,0,33,27,58,183,0,3979,4581,227,18,320,3761,905870,4485,1,52,504,57,21,0,31237,12,1006,893,62,
NEBRASKA,2009,1373,15917,92,883,292,3993,13016,9731,0,103,158,440,1529,19,8824,10741,348,35,1467,8968,1591339,10147,180,377,448,614,739,0,84107,30,2887,1943,903,
NEVADA,2009,5110,58500,150,3018,2697,3417,15234,16976,145,505,194,1254,1765,33,14367,10299,715,149,1209,18590,2546856,18250,4561,2048,1040,1555,2006,10,172548,2123,2928,7501,1950,
NEW HAMPSHIRE,2009,470,14268,54,550,27,1500,4676,4020,4022,47,45,221,774,3,3624,5436,115,3,188,6499,1160414,4343,46,176,338,175,571,0,49351,78,1317,694,108,
NEW JERSEY,2009,8745,152857,313,6231,5659,21799,27345,52461,0,145,362,1766,5039,275,27505,6956,796,229,14411,27102,8522309,34845,1372,4413,3803,1543,3739,0,387595,1483,6398,13749,4848,
NEW MEXICO,2009,3168,41453,101,1302,15,3079,11674,6478,778,141,105,154,403,0,8891,4488,445,69,1262,8606,2531579,10739,287,296,449,150,583,50,95965,65,872,3638,601,
NEW YORK,2009,10504,76371,412,8158,0,14615,36093,60543,0,154,522,3473,7114,237,48308,5165,2186,279,1315,36315,19719319,59064,871,4323,0,4073,5416,0,347436,875,16078,15628,4036,
NORTH CAROLINA,2009,13104,111324,283,14315,0,12200,50261,33062,0,1353,474,2205,17284,111,42756,8567,1191,483,6546,48526,8933046,58545,1080,3729,1093,1185,4485,0,389370,0,7299,17790,6454,
NORTH DAKOTA,2009,378,5312,15,331,328,1867,3904,1851,399,32,38,108,728,1,2604,5430,175,8,188,2020,611734,3125,4,41,535,104,124,0,27209,4,548,465,132,
OHIO,2009,3400,68869,287,6370,1570,21065,18993,30904,4096,47,466,1497,3274,131,31106,12405,1343,232,5165,36372,11137156,39106,1891,3244,673,960,3615,41,266624,55,5035,7342,3518,
OKLAHOMA,2009,4643,39640,251,2975,1877,3627,18996,20311,22586,552,261,820,2737,10,15850,2679,481,197,942,9707,3526827,19557,411,852,2502,784,2405,0,159508,3,1443,5953,1966,
OREGON,2009,2885,19711,226,2447,1785,8818,14477,15469,0,42,245,763,1300,4,20349,16900,1103,72,602,14044,3612440,24125,660,1012,1571,1226,386,0,132035,8,4474,4214,1456,
PENNSYLVANIA,2009,15136,51764,626,9278,22221,59739,50177,52549,23852,419,1090,2529,7895,162,44895,23047,2753,526,1072,44291,12813884,57552,1871,6753,1654,2625,2747,0,446511,1342,11442,23505,4056,
RHODE ISLAND,2009,563,10891,59,801,18,3128,2601,4081,9,128,66,140,642,3,3012,894,117,12,172,4404,1018309,3989,97,282,30,102,352,0,34247,2,1184,923,457,
SOUTH CAROLINA,2009,7204,35530,139,4512,61,16183,16993,27548,11750,418,341,1818,10245,337,20015,10325,868,234,1307,20497,4397223,25534,642,1656,433,573,2036,0,198552,1239,3212,9435,2436,
SOUTH DAKOTA,2009,358,2197,10,330,114,1843,5720,2868,96,40,59,95,688,0,3162,5023,134,7,404,3260,774759,3636,14,42,662,77,86,0,28206,167,610,466,140,
TENNESSEE,2009,9785,92060,205,6270,1992,9941,24141,35812,19681,879,313,2983,7757,443,33703,7110,1746,321,2004,31772,5889352,41924,2531,2731,1831,708,863,0,305259,71,4362,13150,3244,
