Aggravated assault,All other offenses (except traffic),Area,Arson,Burglary,Crime Index Total,Curfew and loitering law violations,Disorderly conduct,Driving under the influence,Drug abuse violations,Drunkenness,Embezzlement,Forcible rape,Forgery and counterfeiting,Fraud,Gambling,Larceny-theft,Liquor laws,Motor vehicle theft,Murder and nonnegligent manslaughter,Offenses against the family and children,Other assaults,Population,Property crime,Prostitution and commercialized vice,Robbery,Runaways,Sex offenses (except forcible rape and prostitution),State,"Stolen property; buying, receiving, possessing",Suspicion,Total all classes ,Vagrancy,Vandalism,Violent crime,"Weapons; carrying, possessing, etc.",Year
"3,154",,State Total,,"13,804","96,307",,,,,,,896,,,,"70,676",,"6,513",67,,,"2,269,789","90,993",,"1,197",,,UTAH,,,"96,307",,,"5,314",,2001
423,,State Total,,"3,150","16,978",,,,,,,107,,,,"12,426",,758,7,,,"613,090","16,334",,107,,,VERMONT,,,"16,978",,,644,,2001
"11,945",,State Total,,"31,604","228,445",,,,,,,"1,770",,,,"157,060",,"18,842",364,,,"7,187,734","207,506",,"6,860",,,VIRGINIA,,,"228,445",,,"20,939",,2001
"12,545",,State Total,,"53,024","308,492",,,,,,,"2,600",,,,"195,133",,"39,077",179,,,"5,987,973","287,234",,"5,934",,,WASHINGTON,,,"308,492",,,"21,258",,2001
"3,968",,State Total,,"9,601","46,120",,,,,,,320,,,,"28,268",,"3,216",40,,,"1,801,916","41,085",,707,,,WEST VIRGINIA,,,"46,120",,,"5,035",,2001
"6,708",,State Total,,"26,927","179,410",,,,,,,"1,142",,,,"125,275",,"14,722",192,,,"5,401,906","166,924",,"4,444",,,WISCONSIN,,,"179,410",,,"12,486",,2001
"1,026",,State Total,,"2,481","17,392",,,,,,,153,,,,"12,943",,696,9,,,"494,423","16,120",,84,,,WYOMING,,,"17,392",,,"1,272",,2001
"12,002",,State Total,,"42,578","200,331",,,,,,,"1,664",,,,"123,932",,"13,890",303,,,"4,486,508","180,400",,"5,962",,,ALABAMA,,,"200,331",,,"19,931",,2002
"2,594",,State Total,,"3,908","27,745",,,,,,,511,,,,"17,739",,"2,471",33,,,"643,786","24,118",,489,,,ALASKA,,,"27,745",,,"3,627",,2002
"20,176",,State Total,,"59,087","348,467",,,,,,,"1,608",,,,"201,541",,"57,668",387,,,"5,456,453","318,296",,"8,000",,,ARIZONA,,,"348,467",,,"30,171",,2002
"8,081",,State Total,,"23,229","112,672",,,,,,,754,,,,"71,129",,"6,813",142,,,"2,710,079","101,171",,"2,524",,,ARKANSAS,,,"112,672",,,"11,501",,2002
"130,827",,State Total,,"238,428","1,384,872",,,,,,,"10,198",,,,"715,692",,"222,364","2,395",,,"35,116,033","1,176,484",,"64,968",,,CALIFORNIA,,,"1,384,872",,,"208,388",,2002
"10,058",,State Total,,"31,678","195,936",,,,,,,"2,066",,,,"125,193",,"23,183",179,,,"4,506,542","180,054",,"3,579",,,COLORADO,,,"195,936",,,"15,882",,2002
"5,897",,State Total,,"17,088","103,719",,,,,,,730,,,,"64,292",,"11,572",80,,,"3,460,503","92,952",,"4,060",,,CONNECTICUT,,,"103,719",,,"10,767",,2002
"3,298",,State Total,,"5,355","31,803",,,,,,,358,,,,"18,555",,"3,057",26,,,"807,385","26,967",,"1,154",,,DELAWARE,,,"31,803",,,"4,836",,2002
"4,962",,State Total,,"5,170","45,799",,,,,,,262,,,,"21,708",,"9,599",264,,,"570,898","36,477",,"3,834",,,DISTRICT OF COLUMBIA ,,,"45,799",,,"9,322",,2002
"88,476",,State Total,,"177,242","905,957",,,,,,,"6,753",,,,"511,478",,"88,516",911,,,"16,713,149","777,236",,"32,581",,,FLORIDA,,,"905,957",,,"128,721",,2002
"23,125",,State Total,,"73,932","385,830",,,,,,,"2,108",,,,"234,591",,"38,036",606,,,"8,560,310","346,559",,"13,432",,,GEORGIA,,,"385,830",,,"39,271",,2002
"1,656",,State Total,,"12,722","75,238",,,,,,,372,,,,"49,344",,"9,910",24,,,"1,244,898","71,976",,"1,210",,,HAWAII,,,"75,238",,,"3,262",,2002
"2,646",,State Total,,"7,441","42,547",,,,,,,497,,,,"29,060",,"2,627",36,,,"1,341,131","39,128",,240,,,IDAHO,,,"42,547",,,"3,419",,2002
"47,695",,State Total,,"81,123","506,086",,,,,,,"4,298",,,,"301,892",,"44,857",949,,,"12,600,620","427,872",,"25,272",,,ILLINOIS ,,,"506,086",,,"78,214",,2002
"13,184",,State Total,,"42,605","230,966",,,,,,,"1,843",,,,"146,073",,"20,287",362,,,"6,159,068","208,965",,"6,612",,,INDIANA,,,"230,966",,,"22,001",,2002
"6,378",,State Total,,"18,643","101,265",,,,,,,797,,,,"68,411",,"5,823",44,,,"2,936,760","92,877",,"1,169",,,IOWA,,,"101,265",,,"8,388",,2002
"6,951",,State Total,,"19,679","110,997",,,,,,,"1,035",,,,"73,877",,"7,212",78,,,"2,715,884","100,768",,"2,165",,,KANSAS,,,"110,997",,,"10,229",,2002
"7,083",,State Total,,"27,855","118,799",,,,,,,"1,088",,,,"70,776",,"8,750",184,,,"4,092,891","107,381",,"3,063",,,KENTUCKY ,,,"118,799",,,"11,418",,2002
"20,445",,State Total,,"45,350","228,528",,,,,,,"1,529",,,,"133,302",,"20,186",593,,,"4,482,646","198,838",,"7,123",,,LOUISIANA,,,"228,528",,,"29,690",,2002
735,,State Total,,"6,965","34,381",,,,,,,377,,,,"24,591",,"1,429",14,,,"1,294,464","32,985",,270,,,MAINE,,,"34,381",,,"1,396",,2002
"26,715",,State Total,,"39,765","259,120",,,,,,,"1,370",,,,"143,320",,"34,020",513,,,"5,458,137","217,105",,"13,417",,,MARYLAND,,,"259,120",,,"42,015",,2002
"22,018",,State Total,,"33,243","198,890",,,,,,,"1,777",,,,"107,922",,"26,588",173,,,"6,427,801","167,753",,"7,169",,,MASSACHUSETTS,,,"198,890",,,"31,137",,2002
"36,417",,State Total,,"70,970","389,366",,,,,,,"5,364",,,,"214,367",,"49,723",678,,,"10,050,446","335,060",,"11,847",,,MICHIGAN,,,"389,366",,,"54,306",,2002
"7,106",,State Total,,"28,034","177,454",,,,,,,"2,273",,,,"122,150",,"13,842",112,,,"5,019,720","164,026",,"3,937",,,MINNESOTA,,,"177,454",,,"13,428",,2002
"5,111",,State Total,,"29,593","119,442",,,,,,,"1,127",,,,"70,468",,"9,523",264,,,"2,871,782","109,584",,"3,356",,,MISSISSIPPI,,,"119,442",,,"9,858",,2002
"21,737",,State Total,,"42,721","261,077",,,,,,,"1,465",,,,"159,921",,"27,878",331,,,"5,672,579","230,520",,"7,024",,,MISSOURI,,,"261,077",,,"30,557",,2002
"2,661",,State Total,,"3,289","31,948",,,,,,,237,,,,"23,679",,"1,783",16,,,"909,453","28,751",,283,,,MONTANA,,,"31,948",,,"3,197",,2002
"3,557",,State Total,,"10,329","73,606",,,,,,,464,,,,"51,440",,"6,409",48,,,"1,729,180","68,178",,"1,359",,,NEBRASKA,,,"73,606",,,"5,428",,2002
"7,629",,State Total,,"18,951","97,752",,,,,,,928,,,,"47,459",,"17,486",181,,,"2,173,491","83,896",,"5,118",,,NEVADA,,,"97,752",,,"13,856",,2002
"1,185",,State Total,,"4,838","28,306",,,,,,,446,,,,"19,468",,"1,944",12,,,"1,275,056","26,250",,413,,,NEW HAMPSHIRE,,,"28,306",,,"2,056",,2002
"16,579",,State Total,,"43,898","259,789",,,,,,,"1,347",,,,"147,984",,"35,739",337,,,"8,590,300","227,621",,"13,905",,,NEW JERSEY,,,"259,789",,,"32,168",,2002
"10,334",,State Total,,"19,634","94,196",,,,,,,"1,027",,,,"53,406",,"7,437",152,,,"1,855,059","80,477",,"2,206",,,NEW MEXICO,,,"94,196",,,"13,719",,2002
"53,583",,State Total,,"76,700","537,121",,,,,,,"3,885",,,,"318,025",,"47,366",909,,,"19,157,532","442,091",,"36,653",,,NEW YORK,,,"537,121",,,"95,030",,2002
"24,169",,State Total,,"99,535","392,826",,,,,,,"2,196",,,,"229,307",,"24,866",548,,,"8,320,146","353,708",,"12,205",,,NORTH CAROLINA,,,"392,826",,,"39,118",,2002
270,,State Total,,"2,243","15,258",,,,,,,163,,,,"11,501",,"1,018",5,,,"634,110","14,762",,58,,,NORTH DAKOTA,,,"15,258",,,496,,2002
