State,latitude,longitude,Year,Funding
SOUTH DAKOTA,44.2853,-99.4632,2005,404652702
TENNESSEE,35.7449,-86.7489,2005,1930731025
TEXAS,31.106,-97.6475,2005,7652047983
UTAH,40.1135,-111.8535,2005,763993683
VERMONT,44.0407,-72.7093,2005,331030556
VIRGINIA,37.768,-78.2057,2005,2343361290
WASHINGTON,47.3917,-121.5708,2005,1790296779
WEST VIRGINIA,38.468,-80.9696,2005,724741052
WISCONSIN,44.2563,-89.6385,2005,1682084698
WYOMING,42.7475,-107.2085,2005,264614902
TOTAL,,,2006,1.08232E+11
ALABAMA,32.799,-86.8073,2006,1658852571
ALASKA,61.385,-152.2683,2006,301221949
ARIZONA,33.7712,-111.3877,2006,5024773228
ARKANSAS,34.9513,-92.3809,2006,943608285
CALIFORNIA,36.17,-119.7462,2006,11259250170
COLORADO,39.0646,-105.3272,2006,1906039380
CONNECTICUT,41.5834,-72.7622,2006,989209889
DELAWARE,39.3498,-75.5148,2006,288998217
DISTRICT OF COLUMBIA,38.9072,-77.037,2006,797311644
FLORIDA,27.8333,-81.717,2006,5805917256
GEORGIA,32.9866,-83.6487,2006,3385081272
HAWAII,21.1098,-157.5311,2006,352899977
IDAHO,44.2394,-114.5103,2006,467601127
ILLINOIS,40.3363,-89.0022,2006,4879526580
INDIANA,39.8647,-86.2604,2006,2271212934
IOWA,42.0046,-93.214,2006,1523025722
KANSAS,38.5111,-96.8005,2006,985416174
KENTUCKY,37.669,-84.6514,2006,1499200583
LOUISIANA,31.1801,-91.8749,2006,1660398638
MAINE,44.6074,-69.3977,2006,427830422
MARYLAND,39.0724,-76.7902,2006,1573459095
MASSACHUSETTS,42.2373,-71.5314,2006,2608631711
MICHIGAN,43.3504,-84.5603,2006,3734005600
MINNESOTA,45.7326,-93.9196,2006,2322627249
MISSISSIPPI,32.7673,-89.6812,2006,1120054323
MISSOURI,38.4623,-92.302,2006,2455501942
MONTANA,46.9048,-110.3261,2006,373357573
NEBRASKA,41.1289,-98.2883,2006,708693051
NEVADA,38.4199,-117.1219,2006,452284897
NEW HAMPSHIRE,43.4108,-71.5653,2006,438087063
NEW JERSEY,40.314,-74.5089,2006,2122576555
NEW MEXICO,34.8375,-106.2371,2006,732575554
NEW YORK,42.1497,-74.9384,2006,8196631641
NORTH CAROLINA,35.6411,-79.8431,2006,2535976395
NORTH DAKOTA,47.5362,-99.793,2006,350723567
OHIO,40.3736,-82.7755,2006,4122599532
OKLAHOMA,35.5376,-96.9247,2006,1358397668
OREGON,44.5672,-122.1269,2006,1295029955
PENNSYLVANIA,40.5773,-77.264,2006,5294647339
RHODE ISLAND,41.6772,-71.5101,2006,552904039
SOUTH CAROLINA,33.8191,-80.9066,2006,1374888937
SOUTH DAKOTA,44.2853,-99.4632,2006,385732599
TENNESSEE,35.7449,-86.7489,2006,1976977392
TEXAS,31.106,-97.6475,2006,7792289367
UTAH,40.1135,-111.8535,2006,767757139
VERMONT,44.0407,-72.7093,2006,348958046
VIRGINIA,37.768,-78.2057,2006,2400097845
WASHINGTON,47.3917,-121.5708,2006,1718697048
WEST VIRGINIA,38.468,-80.9696,2006,747262992
WISCONSIN,44.2563,-89.6385,2006,1695229913
WYOMING,42.7475,-107.2085,2006,247839567
TOTAL,,,2007,1.16032E+11
ALABAMA,32.799,-86.8073,2007,1774144162
ALASKA,61.385,-152.2683,2007,305996184
ARIZONA,33.7712,-111.3877,2007,5864572510
ARKANSAS,34.9513,-92.3809,2007,988744641
CALIFORNIA,36.17,-119.7462,2007,11912567291
COLORADO,39.0646,-105.3272,2007,2029026695
CONNECTICUT,41.5834,-72.7622,2007,1081503459
DELAWARE,39.3498,-75.5148,2007,325591740
DISTRICT OF COLUMBIA,38.9072,-77.037,2007,853788583
FLORIDA,27.8333,-81.717,2007,6267422115
GEORGIA,32.9866,-83.6487,2007,3511477352
HAWAII,21.1098,-157.5311,2007,342789118
IDAHO,44.2394,-114.5103,2007,484532926
ILLINOIS,40.3363,-89.0022,2007,5255753298
INDIANA,39.8647,-86.2604,2007,2486601474
IOWA,42.0046,-93.214,2007,1960014304
KANSAS,38.5111,-96.8005,2007,1038701562
KENTUCKY,37.669,-84.6514,2007,1624990570
LOUISIANA,31.1801,-91.8749,2007,1671183286
MAINE,44.6074,-69.3977,2007,447461242
MARYLAND,39.0724,-76.7902,2007,1707514009
MASSACHUSETTS,42.2373,-71.5314,2007,2791876591
MICHIGAN,43.3504,-84.5603,2007,4194823730
MINNESOTA,45.7326,-93.9196,2007,2720416368
MISSISSIPPI,32.7673,-89.6812,2007,1235401454
MISSOURI,38.4623,-92.302,2007,2510828590
MONTANA,46.9048,-110.3261,2007,377637341
NEBRASKA,41.1289,-98.2883,2007,750456923
NEVADA,38.4199,-117.1219,2007,548856691
NEW HAMPSHIRE,43.4108,-71.5653,2007,479709024
NEW JERSEY,40.314,-74.5089,2007,2302794768
NEW MEXICO,34.8375,-106.2371,2007,737216000
NEW YORK,42.1497,-74.9384,2007,8514733210
NORTH CAROLINA,35.6411,-79.8431,2007,2712595650
NORTH DAKOTA,47.5362,-99.793,2007,338478195
OHIO,40.3736,-82.7755,2007,4439000194
OKLAHOMA,35.5376,-96.9247,2007,1369915637
OREGON,44.5672,-122.1269,2007,1372901433
PENNSYLVANIA,40.5773,-77.264,2007,5586045205
RHODE ISLAND,41.6772,-71.5101,2007,607021205
SOUTH CAROLINA,33.8191,-80.9066,2007,1486225056
SOUTH DAKOTA,44.2853,-99.4632,2007,401770417
TENNESSEE,35.7449,-86.7489,2007,2132145240
TEXAS,31.106,-97.6475,2007,7953251577
UTAH,40.1135,-111.8535,2007,807844965
VERMONT,44.0407,-72.7093,2007,382073088
VIRGINIA,37.768,-78.2057,2007,2668430091
WASHINGTON,47.3917,-121.5708,2007,1775557207
WEST VIRGINIA,38.468,-80.9696,2007,813660993
WISCONSIN,44.2563,-89.6385,2007,1867581068
WYOMING,42.7475,-107.2085,2007,218406197
TOTAL,,,2008,1.26133E+11
ALABAMA,32.799,-86.8073,2008,1986869436
ALASKA,61.385,-152.2683,2008,318560716
ARIZONA,33.7712,-111.3877,2008,6375493472
ARKANSAS,34.9513,-92.3809,2008,1046683517
CALIFORNIA,36.17,-119.7462,2008,12912570108
COLORADO,39.0646,-105.3272,2008,2200548161
CONNECTICUT,41.5834,-72.7622,2008,1150836531
DELAWARE,39.3498,-75.5148,2008,362014919
DISTRICT OF COLUMBIA,38.9072,-77.037,2008,927957391
FLORIDA,27.8333,-81.717,2008,6744987114
GEORGIA,32.9866,-83.6487,2008,3907401173
HAWAII,21.1098,-157.5311,2008,353191298
IDAHO,44.2394,-114.5103,2008,562589289
ILLINOIS,40.3363,-89.0022,2008,5813116523
INDIANA,39.8647,-86.2604,2008,2663698922
IOWA,42.0046,-93.214,2008,2276849748
KANSAS,38.5111,-96.8005,2008,1114729744
KENTUCKY,37.669,-84.6514,2008,1739805781
LOUISIANA,31.1801,-91.8749,2008,1734100593
MAINE,44.6074,-69.3977,2008,478196985
MARYLAND,39.0724,-76.7902,2008,1914689258
MASSACHUSETTS,42.2373,-71.5314,2008,3153444001
MICHIGAN,43.3504,-84.5603,2008,4795022745
MINNESOTA,45.7326,-93.9196,2008,2973502580
MISSISSIPPI,32.7673,-89.6812,2008,1302401255
MISSOURI,38.4623,-92.302,2008,2659692755
MONTANA,46.9048,-110.3261,2008,390295347
NEBRASKA,41.1289,-98.2883,2008,811008586
NEVADA,38.4199,-117.1219,2008,604407232
NEW HAMPSHIRE,43.4108,-71.5653,2008,505989489
NEW JERSEY,40.314,-74.5089,2008,2569965494
NEW MEXICO,34.8375,-106.2371,2008,784943743
NEW YORK,42.1497,-74.9384,2008,9170530970
NORTH CAROLINA,35.6411,-79.8431,2008,2987459791
NORTH DAKOTA,47.5362,-99.793,2008,347491310
OHIO,40.3736,-82.7755,2008,4977033577
OKLAHOMA,35.5376,-96.9247,2008,1460048450
OREGON,44.5672,-122.1269,2008,1570400632
PENNSYLVANIA,40.5773,-77.264,2008,5782155092
RHODE ISLAND,41.6772,-71.5101,2008,672191793
SOUTH CAROLINA,33.8191,-80.9066,2008,1594238879
SOUTH DAKOTA,44.2853,-99.4632,2008,416833841
TENNESSEE,35.7449,-86.7489,2008,2291867545
TEXAS,31.106,-97.6475,2008,8419664869
UTAH,40.1135,-111.8535,2008,851623835
VERMONT,44.0407,-72.7093,2008,392882308
VIRGINIA,37.768,-78.2057,2008,2930408743
WASHINGTON,47.3917,-121.5708,2008,1960404300
WEST VIRGINIA,38.468,-80.9696,2008,951378318
WISCONSIN,44.2563,-89.6385,2008,1995660623
WYOMING,42.7475,-107.2085,2008,224783405
TOTAL,,,2009,1.54277E+11
ALABAMA,32.799,-86.8073,2009,2472093599
ALASKA,61.385,-152.2683,2009,347373460
ARIZONA,33.7712,-111.3877,2009,8052788118
ARKANSAS,34.9513,-92.3809,2009,1303196239
CALIFORNIA,36.17,-119.7462,2009,15405843838
COLORADO,39.0646,-105.3272,2009,2742721576
CONNECTICUT,41.5834,-72.7622,2009,1385394654
DELAWARE,39.3498,-75.5148,2009,433831127
DISTRICT OF COLUMBIA,38.9072,-77.037,2009,1141626723
FLORIDA,27.8333,-81.717,2009,8511101401
GEORGIA,32.9866,-83.6487,2009,4948357555
HAWAII,21.1098,-157.5311,2009,413389206
IDAHO,44.2394,-114.5103,2009,690659433
ILLINOIS,40.3363,-89.0022,2009,7161797553
INDIANA,39.8647,-86.2604,2009,3279151830
IOWA,42.0046,-93.214,2009,2875339160
KANSAS,38.5111,-96.8005,2009,1363485196
KENTUCKY,37.669,-84.6514,2009,2146866189
LOUISIANA,31.1801,-91.8749,2009,2077358089
MAINE,44.6074,-69.3977,2009,574159257
MARYLAND,39.0724,-76.7902,2009,2311199243
MASSACHUSETTS,42.2373,-71.5314,2009,3807861860
MICHIGAN,43.3504,-84.5603,2009,5877161081
MINNESOTA,45.7326,-93.9196,2009,3663969867
MISSISSIPPI,32.7673,-89.6812,2009,1614185247
MISSOURI,38.4623,-92.302,2009,3263793460
MONTANA,46.9048,-110.3261,2009,461530281
NEBRASKA,41.1289,-98.2883,2009,980032361
NEVADA,38.4199,-117.1219,2009,723369568
NEW HAMPSHIRE,43.4108,-71.5653,2009,609220584
NEW JERSEY,40.314,-74.5089,2009,3091574879
NEW MEXICO,34.8375,-106.2371,2009,941453980
NEW YORK,42.1497,-74.9384,2009,11195739164
NORTH CAROLINA,35.6411,-79.8431,2009,3602896422
NORTH DAKOTA,47.5362,-99.793,2009,416121395
OHIO,40.3736,-82.7755,2009,6119723157
OKLAHOMA,35.5376,-96.9247,2009,1780419971
OREGON,44.5672,-122.1269,2009,1915730776
PENNSYLVANIA,40.5773,-77.264,2009,6974433059
RHODE ISLAND,41.6772,-71.5101,2009,812846792
SOUTH CAROLINA,33.8191,-80.9066,2009,1941556167
SOUTH DAKOTA,44.2853,-99.4632,2009,498546324
TENNESSEE,35.7449,-86.7489,2009,2855106853
TEXAS,31.106,-97.6475,2009,10165239532
UTAH,40.1135,-111.8535,2009,1079681039
VERMONT,44.0407,-72.7093,2009,471165767
VIRGINIA,37.768,-78.2057,2009,3586989308
WASHINGTON,47.3917,-121.5708,2009,2364080505
WEST VIRGINIA,38.468,-80.9696,2009,1143885467
WISCONSIN,44.2563,-89.6385,2009,2414288906
WYOMING,42.7475,-107.2085,2009,266421147
TOTAL,,,2010,1.87696E+11
ALABAMA,32.799,-86.8073,2010,3061491531
ALASKA,61.385,-152.2683,2010,427620917
ARIZONA,33.7712,-111.3877,2010,10181765748
ARKANSAS,34.9513,-92.3809,2010,1542976136
CALIFORNIA,36.17,-119.7462,2010,18401548959
COLORADO,39.0646,-105.3272,2010,3383144560
CONNECTICUT,41.5834,-72.7622,2010,1685550603
DELAWARE,39.3498,-75.5148,2010,529740270
DISTRICT OF COLUMBIA,38.9072,-77.037,2010,1691927261
FLORIDA,27.8333,-81.717,2010,10463075106
GEORGIA,32.9866,-83.6487,2010,6605891175
HAWAII,21.1098,-157.5311,2010,86355191
IDAHO,44.2394,-114.5103,2010,835840129
ILLINOIS,40.3363,-89.0022,2010,9151542441
INDIANA,39.8647,-86.2604,2010,4430351597
IOWA,42.0046,-93.214,2010,4200960740
KANSAS,38.5111,-96.8005,2010,1639412701
KENTUCKY,37.669,-84.6514,2010,2562570757
LOUISIANA,31.1801,-91.8749,2010,2335545319
MAINE,44.6074,-69.3977,2010,699844637
MARYLAND,39.0724,-76.7902,2010,2751359220
MASSACHUSETTS,42.2373,-71.5314,2010,4216387369
MICHIGAN,43.3504,-84.5603,2010,6717055728
MINNESOTA,45.7326,-93.9196,2010,4608090142
MISSISSIPPI,32.7673,-89.6812,2010,1838020864
MISSOURI,38.4623,-92.302,2010,3968124334
MONTANA,46.9048,-110.3261,2010,555874104
NEBRASKA,41.1289,-98.2883,2010,1096751911
NEVADA,38.4199,-117.1219,2010,892655777
NEW HAMPSHIRE,43.4108,-71.5653,2010,735167199
NEW JERSEY,40.314,-74.5089,2010,3493151505
NEW MEXICO,34.8375,-106.2371,2010,1120863622
NEW YORK,42.1497,-74.9384,2010,12795002410
NORTH CAROLINA,35.6411,-79.8431,2010,4424904921
NORTH DAKOTA,47.5362,-99.793,2010,458969833
OHIO,40.3736,-82.7755,2010,7605066447
OKLAHOMA,35.5376,-96.9247,2010,1961296841
OREGON,44.5672,-122.1269,2010,2359873142
PENNSYLVANIA,40.5773,-77.264,2010,8439063999
RHODE ISLAND,41.6772,-71.5101,2010,807647788
SOUTH CAROLINA,33.8191,-80.9066,2010,2525717314
SOUTH DAKOTA,44.2853,-99.4632,2010,598234609
TENNESSEE,35.7449,-86.7489,2010,3473788990
TEXAS,31.106,-97.6475,2010,12354590579
UTAH,40.1135,-111.8535,2010,1622124306
VERMONT,44.0407,-72.7093,2010,504029603
VIRGINIA,37.768,-78.2057,2010,4487279644
WASHINGTON,47.3917,-121.5708,2010,2842846380
WEST VIRGINIA,38.468,-80.9696,2010,1336927078
WISCONSIN,44.2563,-89.6385,2010,2915774858
WYOMING,42.7475,-107.2085,2010,272369091
