State,Total all classes,Violent crime,Property crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,Sex offenses (except forcible rape and prostitution),Drug abuse violations,Gambling,Offenses against the family and children,Driving under the influence,Liquor laws,Drunkenness,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,Year,Population
OKLAHOMA,"166,495 ","6,047 ","18,109 ",159 ,365 ,678 ,"4,845 ","3,227 ","13,307 ","1,277 ",298 ,"10,215 ","1,121 ","3,317 ",597 ,"2,091 ","1,567 ","2,315 ",346 ,786 ,"23,013 ",11 ,"1,111 ","20,942 ","3,029 ","24,795 ","3,021 ",0 ,"37,779 ",0 ,"3,102 ","3,181 ",2003,"3,511,532"
OREGON,"115,141 ","3,118 ","21,284 ",95 ,261 ,783 ,"1,979 ","2,890 ","15,898 ","2,171 ",325 ,"10,758 ","1,754 ","1,200 ",65 ,440 ,"4,031 ","1,436 ",116 ,"1,224 ","13,766 ",3 ,505 ,"13,508 ","13,063 ",0 ,"6,271 ",0 ,"18,222 ",0 ,"2,083 ","2,294 ",2003,"3,252,321"
PENNSYLVANIA,"421,100 ","21,903 ","50,739 ",504 ,"1,244 ","6,207 ","13,948 ","9,587 ","34,704 ","5,776 ",672 ,"43,206 ","3,404 ","11,994 ",281 ,"3,247 ","12,660 ","4,137 ","2,685 ","3,069 ","47,438 ",231 ,972 ,"39,384 ","25,939 ","19,812 ","53,634 ",446 ,"47,212 ",0 ,"26,065 ","2,642 ",2003,"10,443,061"
RHODE ISLAND,"43,914 ","1,368 ","4,518 ",14 ,134 ,307 ,913 ,769 ,"3,397 ",276 ,76 ,"6,018 ",203 ,"1,210 ",163 ,472 ,"1,660 ",564 ,275 ,129 ,"4,621 ",23 ,217 ,"2,023 ","1,038 ",69 ,"3,305 ",8 ,"15,734 ",45 ,41 ,210 ,2003,"1,076,164"
SOUTH CAROLINA,"17,583 ",294 ,657 ,8 ,18 ,34 ,234 ,159 ,458 ,34 ,6 ,741 ,158 ,"1,900 ",24 ,137 ,183 ,174 ,13 ,43 ,981 ,13 ,86 ,"3,929 ","2,195 ","1,159 ","1,524 ",25 ,"3,324 ",0 ,4 ,19 ,2003,"535,689"
SOUTH DAKOTA,"35,298 ",510 ,"3,038 ",8 ,59 ,28 ,415 ,430 ,"2,482 ",103 ,23 ,"2,653 ",138 ,"1,056 ",38 ,141 ,533 ,157 ,0 ,183 ,"2,788 ",3 ,340 ,"5,357 ","6,951 ",440 ,"1,640 ",12 ,"8,479 ",0 ,283 ,558 ,2003,"658,233"
TENNESSEE,"253,709 ","11,913 ","30,044 ",302 ,294 ,"1,617 ","9,700 ","4,793 ","22,601 ","2,412 ",238 ,"26,117 ","2,806 ","10,125 ",461 ,799 ,"3,312 ","2,701 ","1,739 ",659 ,"29,368 ",247 ,"1,150 ","24,688 ","6,705 ","18,317 ","10,095 ",33 ,"67,974 ",0 ,"1,651 ","2,805 ",2003,"4,892,622"
TEXAS,"982,963 ","30,433 ","116,101 ",811 ,"2,189 ","6,371 ","21,062 ","17,862 ","89,257 ","8,192 ",790 ,"92,840 ","8,267 ","16,120 ",647 ,827 ,"11,742 ","11,344 ","4,794 ","4,425 ","106,273 ",411 ,"4,696 ","87,023 ","25,194 ","119,851 ","35,628 ",507 ,"279,937 ",0 ,"10,564 ","15,339 ",2003,"20,875,272"
UTAH,"98,509 ","1,640 ","14,477 ",48 ,158 ,313 ,"1,121 ","1,350 ","12,362 ",617 ,148 ,"8,109 ",968 ,904 ,17 ,802 ,"2,978 ","1,297 ",241 ,726 ,"7,582 ",0 ,"1,196 ","5,944 ","10,214 ","4,797 ","5,564 ",13 ,"28,908 ",0 ,"1,316 ",816 ,2003,"1,690,633"
VERMONT,"10,951 ",252 ,921 ,7 ,48 ,1 ,196 ,209 ,628 ,61 ,23 ,"1,079 ",106 ,330 ,24 ,117 ,282 ,9 ,4 ,28 ,"1,235 ",0 ,297 ,"2,619 ",703 ,1 ,619 ,0 ,"2,324 ",0 ,1 ,0 ,2003,"478,344"
VIRGINIA,"213,059 ","4,866 ","20,818 ",190 ,305 ,"1,108 ","3,263 ","3,018 ","16,355 ","1,181 ",264 ,"26,915 ","2,008 ","7,184 ","1,096 ",737 ,"3,315 ","2,752 ",392 ,790 ,"20,137 ",28 ,766 ,"18,819 ","6,044 ","17,524 ","4,488 ",75 ,"69,115 ",0 ,"1,765 ","3,425 ",2003,"5,526,389"
WASHINGTON,"216,720 ","6,773 ","32,282 ",96 ,795 ,"1,259 ","4,623 ","5,079 ","24,934 ","1,892 ",377 ,"28,578 ","2,269 ","1,335 ",124 ,"3,913 ","6,025 ","2,514 ",571 ,"1,198 ","22,544 ",3 ,339 ,"36,802 ","12,701 ",14 ,"4,619 ",107 ,"51,701 ",18 ,17 ,"2,273 ",2003,"4,540,101"
WEST VIRGINIA,"19,879 ",778 ,"2,095 ",20 ,20 ,58 ,680 ,387 ,"1,512 ",170 ,26 ,"2,955 ",211 ,455 ,38 ,128 ,469 ,178 ,10 ,87 ,"2,060 ",1 ,62 ,"3,670 ","1,065 ",654 ,209 ,0 ,"4,704 ",0 ,12 ,38 ,2003,"813,665"
WISCONSIN,"294,493 ","4,620 ","30,490 ",85 ,491 ,686 ,"3,358 ","3,764 ","24,676 ","1,818 ",232 ,"12,013 ","1,786 ","8,402 ",227 ,"1,294 ","8,350 ","2,544 ",120 ,"2,782 ","18,676 ",32 ,"1,906 ","29,060 ","36,039 ",195 ,"47,538 ",270 ,"79,458 ",148 ,"4,785 ","3,758 ",2003,"4,165,478"
WYOMING,"32,907 ",543 ,"2,503 ",11 ,28 ,34 ,470 ,314 ,"2,042 ",115 ,32 ,"2,564 ",115 ,192 ,4 ,109 ,581 ,117 ,2 ,112 ,"2,579 ",3 ,249 ,"4,169 ","4,223 ","1,388 ","1,128 ",11 ,"11,686 ",80 ,358 ,191 ,2003,"475,963"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
