State,,"Total 
all 
classes1",Violent crime2,Property crime2,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,"Sex offenses (except forcible 
rape and prostitution)","Drug 
abuse violations",Gambling,"Offenses against 
the family and children",Driving under the influence,Liquor laws,Drunkenness3,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,2006 estimated population,Year
OKLAHOMA,Total all ages,"145,171 ","5,304 ","13,622 ",154 ,261 ,750 ,"4,139 ","2,882 ","9,407 ",969 ,364 ,"9,703 ",898 ,"2,082 ",500 ,"2,156 ","1,323 ","2,551 ",450 ,737 ,"20,823 ",49 ,775 ,"15,936 ","3,588 ","22,120 ","3,094 ",0 ,"34,195 ",0 ,"2,228 ","3,037 ","3,254,461",2006
OREGON,Total all ages,"124,612 ","4,142 ","22,488 ",101 ,263 ,939 ,"2,839 ","2,482 ","17,950 ","1,767 ",289 ,"13,202 ","1,254 ","1,451 ",61 ,678 ,"4,277 ","1,732 ",677 ,"1,129 ","17,352 ",13 ,509 ,"14,016 ","13,434 ",0 ,"6,355 ",4 ,"17,802 ",0 ,"2,160 ","1,876 ","3,099,031",2006
PENNSYLVANIA,Total all ages,"457,514 ","25,102 ","52,799 ",476 ,"1,072 ","7,367 ","16,187 ","9,803 ","37,691 ","4,598 ",707 ,"43,568 ","3,495 ","10,777 ",405 ,"3,308 ","13,383 ","4,998 ","2,380 ","2,651 ","54,412 ",337 ,954 ,"46,093 ","27,319 ","21,686 ","57,363 ","1,041 ","53,626 ",0 ,"29,734 ","2,083 ","10,932,970",2006
RHODE ISLAND,Total all ages,"35,999 ",697 ,"2,816 ",13 ,48 ,144 ,492 ,587 ,"2,035 ",146 ,48 ,"3,941 ",181 ,883 ,174 ,304 ,"1,323 ",352 ,215 ,103 ,"3,688 ",15 ,85 ,"2,118 ",766 ,14 ,"3,046 ",11 ,"15,183 ",1 ,35 ,48 ,"954,017",2006
SOUTH CAROLINA,Total all ages,"187,578 ","10,311 ","20,899 ",282 ,390 ,"1,609 ","8,030 ","4,678 ","14,984 ","1,041 ",196 ,"22,182 ","2,423 ","19,181 ",470 ,"2,408 ","3,626 ","2,658 ",520 ,709 ,"28,713 ",113 ,876 ,"7,650 ","8,329 ","8,033 ","13,040 ",734 ,"34,219 ",0 ,45 ,439 ,"3,877,177",2006
SOUTH DAKOTA,Total all ages,"13,677 ",154 ,751 ,1 ,25 ,10 ,118 ,108 ,581 ,48 ,14 ,"1,153 ",20 ,537 ,8 ,8 ,189 ,52 ,4 ,26 ,640 ,0 ,228 ,"3,695 ","3,670 ",146 ,662 ,1 ,"1,372 ",0 ,164 ,197 ,"365,423",2006
TENNESSEE,Total all ages,"285,475 ","13,340 ","31,606 ",326 ,345 ,"2,885 ","9,784 ","5,869 ","23,027 ","2,475 ",235 ,"30,460 ","3,899 ","10,309 ","1,029 ",893 ,"4,443 ","3,353 ","2,142 ",769 ,"35,455 ",264 ,"1,582 ","23,296 ","8,737 ","20,935 ","11,245 ",25 ,"77,655 ",0 ,"1,564 ","2,474 ","4,877,891",2006
TEXAS,Total all ages,"1,078,961 ","33,025 ","111,837 ",777 ,"2,131 ","7,222 ","22,895 ","18,328 ","85,266 ","7,459 ",784 ,"100,697 ","8,443 ","15,440 ",531 ,758 ,"13,022 ","14,326 ","8,403 ","4,359 ","135,914 ",428 ,"5,519 ","88,165 ","29,348 ","120,286 ","42,913 ","2,779 ","318,321 ",7 ,"12,999 ","11,441 ","22,453,094",2006
UTAH,Total all ages,"109,762 ","1,598 ","12,313 ",28 ,163 ,355 ,"1,052 ","1,152 ","10,568 ",484 ,109 ,"8,401 ",780 ,930 ,22 ,654 ,"3,326 ","1,033 ",512 ,823 ,"7,653 ",17 ,"2,105 ","6,452 ","10,054 ","4,134 ","4,619 ",301 ,"41,837 ",0 ,"1,944 ",254 ,"2,003,810",2006
VERMONT,Total all ages,"13,798 ",386 ,"1,431 ",6 ,65 ,13 ,302 ,310 ,"1,007 ",96 ,18 ,"1,406 ",97 ,378 ,40 ,128 ,352 ,9 ,1 ,44 ,"1,394 ",0 ,359 ,"3,544 ",770 ,6 ,813 ,2 ,"2,635 ",0 ,2 ,1 ,"520,953",2006
VIRGINIA,Total all ages,"276,305 ","6,908 ","23,877 ",228 ,323 ,"1,856 ","4,501 ","3,967 ","18,492 ","1,039 ",379 ,"32,939 ","2,199 ","8,480 ","1,588 ",827 ,"4,444 ","3,711 ",586 ,981 ,"29,273 ",102 ,"1,237 ","21,422 ","8,855 ","24,684 ","5,526 ",134 ,"90,596 ",0 ,"2,961 ","4,975 ","5,895,712",2006
WASHINGTON,Total all ages,"246,388 ","7,674 ","34,948 ",148 ,783 ,"1,866 ","4,877 ","5,841 ","26,429 ","2,294 ",384 ,"30,243 ","2,435 ","1,278 ",183 ,"4,649 ","6,984 ","3,593 ","1,313 ","1,427 ","29,264 ",12 ,614 ,"36,986 ","13,030 ",7 ,"4,931 ",21 ,"64,789 ",10 ,60 ,"1,937 ","5,254,276",2006
WEST VIRGINIA,Total all ages,"26,566 ",882 ,"2,377 ",18 ,35 ,75 ,754 ,496 ,"1,636 ",203 ,42 ,"4,032 ",255 ,614 ,64 ,170 ,599 ,248 ,29 ,133 ,"4,100 ",0 ,61 ,"4,028 ","1,274 ","1,063 ",474 ,6 ,"6,077 ",0 ,49 ,31 ,"885,812",2006
WISCONSIN,Total all ages,"414,975 ","8,081 ","38,521 ",182 ,732 ,"1,650 ","5,517 ","4,898 ","30,637 ","2,554 ",432 ,"19,162 ","2,424 ","8,300 ",197 ,"1,324 ","11,111 ","5,110 ",690 ,"3,113 ","25,329 ",157 ,"2,448 ","41,105 ","42,935 ",5 ,"63,761 ","3,496 ","126,158 ",4 ,"7,164 ","4,380 ","5,294,726",2006
WYOMING,Total all ages,"38,780 ",573 ,"2,341 ",4 ,25 ,26 ,518 ,315 ,"1,889 ",121 ,16 ,"3,223 ",135 ,167 ,14 ,102 ,863 ,145 ,6 ,157 ,"3,160 ",1 ,256 ,"5,423 ","4,471 ","2,002 ","1,360 ",16 ,"13,591 ",118 ,359 ,297 ,"502,901",2006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
