State,,"Total 
all 
classes ",Violent crime ,Property crime ,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,"Sex offenses (except forcible 
rape and prostitution)","Drug 
abuse violations",Gambling,"Offenses against 
the family and children",Driving under the influence,Liquor laws,Drunkenness ,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,Number of agencies,"2008 
estimated 
population",Year
SOUTH DAKOTA,Total all ages,"27,721 ",465 ,"2,782 ",13 ,53 ,31 ,368 ,281 ,"2,342 ",115 ,44 ,"2,902 ",109 ,840 ,48 ,61 ,604 ,129 ,10 ,77 ,"2,395 ",0 ,342 ,"6,190 ","5,745 ",53 ,"1,746 ",133 ,"2,270 ",0 ,167 ,653 ,,"630,213",2008
TENNESSEE,Total all ages,"309,981 ","13,626 ","39,706 ",304 ,344 ,"2,934 ","10,044 ","6,221 ","30,894 ","2,324 ",267 ,"31,413 ","3,104 ","9,361 ","1,147 ",880 ,"4,295 ","3,238 ","2,111 ",731 ,"34,686 ",360 ,"1,771 ","26,322 ","8,071 ","20,522 ","10,759 ",80 ,"93,705 ",0 ,"1,927 ","2,166 ",,"4,948,055",2008
TEXAS,Total all ages,"1,141,646 ","34,235 ","130,782 ",863 ,"2,034 ","8,199 ","23,139 ","19,693 ","104,395 ","5,962 ",732 ,"109,003 ","7,323 ","13,473 ",573 ,745 ,"13,855 ","11,667 ","8,784 ","4,059 ","136,897 ",500 ,"4,939 ","90,066 ","29,859 ","140,094 ","40,371 ","3,224 ","334,786 ",0 ,"13,164 ","13,247 ",,"23,376,796",2008
UTAH,Total all ages,"114,017 ","2,044 ","18,725 ",47 ,181 ,495 ,"1,321 ","1,342 ","16,821 ",460 ,102 ,"10,515 ",927 ,"1,031 ",22 ,787 ,"3,999 ","1,200 ",463 ,811 ,"9,242 ",7 ,"1,667 ","6,894 ","9,577 ","4,181 ","4,563 ",189 ,"35,533 ",0 ,"1,015 ",625 ,,"2,376,842",2008
VERMONT,Total all ages,"13,533 ",456 ,"1,714 ",8 ,71 ,21 ,356 ,300 ,"1,308 ",87 ,19 ,"1,454 ",88 ,346 ,42 ,133 ,402 ,18 ,6 ,23 ,"1,137 ",0 ,313 ,"2,647 ",662 ,9 ,854 ,1 ,"3,226 ",0 ,0 ,2 ,,"509,775",2008
VIRGINIA,Total all ages,"331,159 ","7,457 ","33,083 ",309 ,370 ,"2,194 ","4,584 ","4,624 ","27,101 ","1,052 ",306 ,"38,256 ","2,433 ","8,818 ","1,936 ",989 ,"4,979 ","4,035 ",558 ,"1,068 ","32,513 ",58 ,"1,643 ","27,732 ","12,885 ","30,407 ","5,912 ",111 ,"107,713 ",0 ,"2,854 ","5,719 ",,"7,543,553",2008
WASHINGTON,Total all ages,"228,993 ","6,943 ","32,352 ",104 ,675 ,"1,637 ","4,527 ","4,895 ","25,769 ","1,412 ",276 ,"26,165 ","1,567 ",991 ,147 ,"2,792 ","6,539 ","2,879 ",694 ,994 ,"23,440 ",1 ,691 ,"34,952 ","11,634 ",3 ,"4,797 ",32 ,"69,732 ",0 ,48 ,"1,600 ",,"4,761,193",2008
WEST VIRGINIA,Total all ages,"41,681 ","1,280 ","5,059 ",31 ,40 ,143 ,"1,066 ",583 ,"4,263 ",179 ,34 ,"5,643 ",306 ,731 ,91 ,204 ,797 ,268 ,150 ,112 ,"4,249 ",19 ,66 ,"4,429 ","1,217 ","4,264 ","1,075 ",18 ,"11,571 ",0 ,69 ,63 ,,"1,109,343",2008
WISCONSIN,Total all ages,"411,968 ","8,050 ","42,425 ",195 ,710 ,"1,981 ","5,164 ","4,664 ","35,698 ","1,664 ",399 ,"19,821 ","1,842 ","6,321 ",268 ,"1,815 ","10,475 ","4,997 ",687 ,"2,750 ","25,075 ",137 ,"2,768 ","40,549 ","41,928 ",0 ,"64,868 ","2,795 ","123,248 ",0 ,"7,046 ","4,103 ",,"5,540,528",2008
WYOMING,Total all ages,"40,979 ",633 ,"3,073 ",14 ,45 ,35 ,539 ,334 ,"2,592 ",125 ,22 ,"3,408 ",113 ,226 ,5 ,75 ,889 ,136 ,34 ,173 ,"2,969 ",7 ,267 ,"7,159 ","4,617 ","2,754 ","1,469 ",34 ,"11,999 ",31 ,428 ,480 ,,"528,009",2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,
