State,Total (thousands of dollars),Total justice system Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Police protection Direct expenditure Total,Direct current,Capital outlay,Intergovernmental Expenditure,Total,Judicial and Legal Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Corrections Direct expenditure Total,Direct current,Total,Construction only,Intergovernmental expenditures,State
Oklahoma,"$705,647.00 ","$678,922.00 ","$650,545.00 ","$28,377.00 ","$26,725.00 ","$75,488.00 ","$75,487.00 ","$67,679.00 ","$7,808.00 ",$1.00 ,"$162,542.00 ","$141,232.00 ","$136,365.00 ","$4,867.00 ","$21,310.00 ","$467,617.00 ","$462,203.00 ","$446,501.00 ","$15,702.00 ","$4,455.00 ","$5,414.00 ",Oklahoma
Oregon,"$976,388.00 ","$854,926.00 ","$781,365.00 ","$73,561.00 ","$121,462.00 ","$167,814.00 ","$130,473.00 ","$125,922.00 ","$4,551.00 ","$37,341.00 ","$256,091.00 ","$256,091.00 ","$254,293.00 ","$1,798.00 ",$0.00 ,"$552,483.00 ","$468,362.00 ","$401,150.00 ","$67,212.00 ","$57,737.00 ","$84,121.00 ",Oregon
Pennsylvania,"$2,679,260.00 ","$2,509,003.00 ","$2,301,167.00 ","$207,836.00 ","$170,257.00 ","$786,628.00 ","$776,384.00 ","$754,997.00 ","$21,387.00 ","$10,244.00 ","$423,257.00 ","$318,979.00 ","$318,529.00 ",$450.00 ,"$104,278.00 ","$1,469,375.00 ","$1,413,640.00 ","$1,227,641.00 ","$185,999.00 ","$171,437.00 ","$55,735.00 ",Pennsylvania
Rhode Island,"$271,411.00 ","$270,911.00 ","$260,532.00 ","$10,379.00 ",$500.00 ,"$36,659.00 ","$36,159.00 ","$32,507.00 ","$3,652.00 ",$500.00 ,"$95,527.00 ","$95,527.00 ","$92,855.00 ","$2,672.00 ",$0.00 ,"$139,225.00 ","$139,225.00 ","$135,170.00 ","$4,055.00 ","$3,222.00 ",$0.00 ,Rhode Island
South Carolina,"$722,746.00 ","$692,338.00 ","$635,406.00 ","$56,932.00 ","$30,408.00 ","$217,311.00 ","$203,125.00 ","$173,289.00 ","$29,836.00 ","$14,186.00 ","$68,331.00 ","$52,999.00 ","$51,690.00 ","$1,309.00 ","$15,332.00 ","$437,104.00 ","$436,214.00 ","$410,427.00 ","$25,787.00 ","$18,110.00 ",$890.00 ,South Carolina
South Dakota,"$103,667.00 ","$102,325.00 ","$99,535.00 ","$2,790.00 ","$1,342.00 ","$17,749.00 ","$17,543.00 ","$16,497.00 ","$1,046.00 ",$206.00 ,"$23,087.00 ","$22,467.00 ","$22,195.00 ",$272.00 ,$620.00 ,"$62,831.00 ","$62,315.00 ","$60,843.00 ","$1,472.00 ",$12.00 ,$516.00 ,South Dakota
Tennessee,"$778,367.00 ","$651,053.00 ","$622,773.00 ","$28,280.00 ","$127,314.00 ","$118,178.00 ","$111,798.00 ","$106,481.00 ","$5,317.00 ","$6,380.00 ","$211,082.00 ","$188,409.00 ","$187,018.00 ","$1,391.00 ","$22,673.00 ","$449,107.00 ","$350,846.00 ","$329,274.00 ","$21,572.00 ","$18,376.00 ","$98,261.00 ",Tennessee
Texas,"$3,550,654.00 ","$3,425,892.00 ","$3,256,935.00 ","$168,957.00 ","$124,762.00 ","$343,991.00 ","$337,990.00 ","$292,286.00 ","$45,704.00 ","$6,001.00 ","$439,752.00 ","$410,654.00 ","$404,949.00 ","$5,705.00 ","$29,098.00 ","$2,766,911.00 ","$2,677,248.00 ","$2,559,700.00 ","$117,548.00 ","$62,148.00 ","$89,663.00 ",Texas
Utah,"$452,190.00 ","$450,937.00 ","$443,471.00 ","$7,466.00 ","$1,253.00 ","$74,401.00 ","$74,401.00 ","$70,852.00 ","$3,549.00 ",$0.00 ,"$132,388.00 ","$131,164.00 ","$130,315.00 ",$849.00 ,"$1,224.00 ","$245,401.00 ","$245,372.00 ","$242,304.00 ","$3,068.00 ",$56.00 ,$29.00 ,Utah
Vermont,"$141,173.00 ","$140,298.00 ","$136,108.00 ","$4,190.00 ",$875.00 ,"$38,002.00 ","$37,127.00 ","$34,350.00 ","$2,777.00 ",$875.00 ,"$37,044.00 ","$37,044.00 ","$37,016.00 ",$28.00 ,$0.00 ,"$66,127.00 ","$66,127.00 ","$64,742.00 ","$1,385.00 ","$1,385.00 ",$0.00 ,Vermont
Virginia,"$1,992,262.00 ","$1,308,431.00 ","$1,271,187.00 ","$37,244.00 ","$683,831.00 ","$511,285.00 ","$210,428.00 ","$194,370.00 ","$16,058.00 ","$300,857.00 ","$357,243.00 ","$238,570.00 ","$233,371.00 ","$5,199.00 ","$118,673.00 ","$1,123,734.00 ","$859,433.00 ","$843,446.00 ","$15,987.00 ","$2,071.00 ","$264,301.00 ",Virginia
Washington,"$1,050,006.00 ","$955,645.00 ","$826,584.00 ","$129,061.00 ","$94,361.00 ","$245,886.00 ","$153,174.00 ","$143,269.00 ","$9,905.00 ","$92,712.00 ","$72,843.00 ","$71,194.00 ","$69,545.00 ","$1,649.00 ","$1,649.00 ","$731,277.00 ","$731,277.00 ","$613,770.00 ","$117,507.00 ","$107,830.00 ",$0.00 ,Washington
West Virginia,"$281,767.00 ","$281,767.00 ","$236,184.00 ","$45,583.00 ",$0.00 ,"$52,445.00 ","$52,445.00 ","$45,466.00 ","$6,979.00 ",$0.00 ,"$73,132.00 ","$73,132.00 ","$71,376.00 ","$1,756.00 ",$0.00 ,"$156,190.00 ","$156,190.00 ","$119,342.00 ","$36,848.00 ","$32,346.00 ",$0.00 ,West Virginia
Wisconsin,"$1,195,467.00 ","$1,065,901.00 ","$971,921.00 ","$93,980.00 ","$129,566.00 ","$105,041.00 ","$99,418.00 ","$99,336.00 ",$82.00 ,"$5,623.00 ","$252,930.00 ","$220,426.00 ","$219,218.00 ","$1,208.00 ","$32,504.00 ","$837,496.00 ","$746,057.00 ","$653,367.00 ","$92,690.00 ","$85,300.00 ","$91,439.00 ",Wisconsin
Wyoming,"$126,775.00 ","$123,133.00 ","$96,513.00 ","$26,620.00 ","$3,642.00 ","$19,320.00 ","$19,320.00 ","$18,958.00 ",$362.00 ,$0.00 ,"$33,986.00 ","$30,782.00 ","$29,217.00 ","$1,565.00 ","$3,204.00 ","$73,469.00 ","$73,031.00 ","$48,338.00 ","$24,693.00 ","$24,066.00 ",$438.00 ,Wyoming
