State,Total (Thousands of dollars),Total justice system Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Police protection Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Judicial and Legal Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Corrections Direct expenditure,Direct current,Total Capital outlay,Construct. Only,Intergovern mental expenditure,State
Pennsylvania,"$2,818,977.00 ","$2,638,526.00 ","$2,415,406.00 ","$223,120.00 ","$180,451.00 ","$828,177.00 ","$814,090.00 ","$795,231.00 ","$18,859.00 ","$14,087.00 ","$432,643.00 ","$324,904.00 ","$324,904.00 ",$0.00 ,"$107,739.00 ","$1,558,157.00 ","$1,499,532.00 ","$1,295,271.00 ","$204,261.00 ","$204,261.00 ","$58,625.00 ",Pennsylvania
Rhode Island,"$299,309.00 ","$298,809.00 ","$282,498.00 ","$16,311.00 ",$500.00 ,"$46,948.00 ","$46,448.00 ","$36,565.00 ","$9,883.00 ",$500.00 ,"$101,189.00 ","$101,189.00 ","$97,801.00 ","$3,388.00 ",$0.00 ,"$151,172.00 ","$151,172.00 ","$148,132.00 ","$3,040.00 ","$2,153.00 ",$0.00 ,Rhode Island
South Carolina,"$772,350.00 ","$739,504.00 ","$682,127.00 ","$57,377.00 ","$32,846.00 ","$219,115.00 ","$202,177.00 ","$187,550.00 ","$14,627.00 ","$16,938.00 ","$72,283.00 ","$56,973.00 ","$55,509.00 ","$1,464.00 ","$15,310.00 ","$480,952.00 ","$480,354.00 ","$439,068.00 ","$41,286.00 ","$38,180.00 ",$598.00 ,South Carolina
South Dakota,"$109,874.00 ","$107,794.00 ","$103,232.00 ","$4,562.00 ","$2,080.00 ","$18,999.00 ","$18,765.00 ","$16,260.00 ","$2,505.00 ",$234.00 ,"$24,130.00 ","$23,437.00 ","$22,289.00 ","$1,148.00 ",$693.00 ,"$66,745.00 ","$65,592.00 ","$64,683.00 ",$909.00 ,$334.00 ,"$1,153.00 ",South Dakota
Tennessee,"$809,516.00 ","$661,817.00 ","$649,921.00 ","$11,896.00 ","$147,699.00 ","$126,207.00 ","$119,621.00 ","$117,066.00 ","$2,555.00 ","$6,586.00 ","$191,582.00 ","$167,971.00 ","$167,870.00 ",$101.00 ,"$23,611.00 ","$491,727.00 ","$374,225.00 ","$364,985.00 ","$9,240.00 ","$7,426.00 ","$117,502.00 ",Tennessee
Texas,"$3,896,714.00 ","$3,760,036.00 ","$3,643,925.00 ","$116,111.00 ","$136,678.00 ","$337,456.00 ","$331,463.00 ","$303,325.00 ","$28,138.00 ","$5,993.00 ","$484,899.00 ","$452,740.00 ","$447,015.00 ","$5,725.00 ","$32,159.00 ","$3,074,359.00 ","$2,975,833.00 ","$2,893,585.00 ","$82,248.00 ","$18,238.00 ","$98,526.00 ",Texas
Utah,"$483,564.00 ","$482,434.00 ","$471,803.00 ","$10,631.00 ","$1,130.00 ","$77,926.00 ","$77,926.00 ","$72,067.00 ","$5,859.00 ",$0.00 ,"$139,949.00 ","$138,819.00 ","$136,279.00 ","$2,540.00 ","$1,130.00 ","$265,689.00 ","$265,689.00 ","$263,457.00 ","$2,232.00 ",$238.00 ,$0.00 ,Utah
Vermont,"$156,996.00 ","$155,409.00 ","$151,178.00 ","$4,231.00 ","$1,587.00 ","$43,112.00 ","$41,525.00 ","$39,178.00 ","$2,347.00 ","$1,587.00 ","$41,896.00 ","$41,896.00 ","$41,030.00 ",$866.00 ,$0.00 ,"$71,988.00 ","$71,988.00 ","$70,970.00 ","$1,018.00 ",$0.00 ,$0.00 ,Vermont
Virginia,"$2,179,918.00 ","$1,437,540.00 ","$1,395,498.00 ","$42,042.00 ","$742,378.00 ","$544,706.00 ","$223,594.00 ","$211,385.00 ","$12,209.00 ","$321,112.00 ","$387,916.00 ","$259,288.00 ","$253,141.00 ","$6,147.00 ","$128,628.00 ","$1,247,296.00 ","$954,658.00 ","$930,972.00 ","$23,686.00 ","$3,415.00 ","$292,638.00 ",Virginia
Washington,"$1,042,401.00 ","$976,303.00 ","$886,992.00 ","$89,311.00 ","$66,098.00 ","$224,377.00 ","$161,874.00 ","$150,559.00 ","$11,315.00 ","$62,503.00 ","$87,908.00 ","$85,484.00 ","$80,899.00 ","$4,585.00 ","$2,424.00 ","$730,116.00 ","$728,945.00 ","$655,534.00 ","$73,411.00 ","$65,513.00 ","$1,171.00 ",Washington
West Virginia,"$226,637.00 ","$226,637.00 ","$220,181.00 ","$6,456.00 ",$0.00 ,"$37,874.00 ","$37,874.00 ","$35,532.00 ","$2,342.00 ",$0.00 ,"$66,754.00 ","$66,754.00 ","$64,453.00 ","$2,301.00 ",$0.00 ,"$122,009.00 ","$122,009.00 ","$120,196.00 ","$1,813.00 ",$512.00 ,$0.00 ,West Virginia
Wisconsin,"$1,317,788.00 ","$1,189,046.00 ","$1,076,647.00 ","$112,399.00 ","$128,742.00 ","$126,512.00 ","$122,359.00 ","$122,160.00 ",$199.00 ,"$4,153.00 ","$258,457.00 ","$228,041.00 ","$226,568.00 ","$1,473.00 ","$30,416.00 ","$932,819.00 ","$838,646.00 ","$727,919.00 ","$110,727.00 ","$99,193.00 ","$94,173.00 ",Wisconsin
Wyoming,"$137,355.00 ","$130,765.00 ","$115,219.00 ","$15,546.00 ","$6,590.00 ","$21,593.00 ","$21,593.00 ","$21,208.00 ",$385.00 ,$0.00 ,"$35,744.00 ","$29,596.00 ","$28,571.00 ","$1,025.00 ","$6,148.00 ","$80,018.00 ","$79,576.00 ","$65,440.00 ","$14,136.00 ","$11,866.00 ",$442.00 ,Wyoming
