state,state_abbr,latitude,longitude,date,funding
Texas,TX,31.106,-97.6475,2005-12-31,7652047983.0
Utah,UT,40.1135,-111.8535,2005-12-31,763993683.0
Vermont,VT,44.0407,-72.7093,2005-12-31,331030556.0
Virginia,VA,37.768,-78.2057,2005-12-31,2343361290.0
Washington,WA,47.3917,-121.5708,2005-12-31,1790296779.0
West Virginia,WV,38.468,-80.9696,2005-12-31,724741052.0
Wisconsin,WI,44.2563,-89.6385,2005-12-31,1682084698.0
Wyoming,WY,42.7475,-107.2085,2005-12-31,264614902.0
Alabama,AL,32.799,-86.8073,2006-12-31,1658852571.0
Alaska,AK,61.385,-152.2683,2006-12-31,301221949.0
Arizona,AZ,33.7712,-111.3877,2006-12-31,5024773228.0
Arkansas,AR,34.9513,-92.3809,2006-12-31,943608285.0
California,CA,36.17,-119.7462,2006-12-31,11259250170.0
Colorado,CO,39.0646,-105.3272,2006-12-31,1906039380.0
Connecticut,CT,41.5834,-72.7622,2006-12-31,989209889.0
Delaware,DE,39.3498,-75.5148,2006-12-31,288998217.0
District of Columbia,DC,38.9072,-77.037,2006-12-31,797311644.0
Florida,FL,27.8333,-81.717,2006-12-31,5805917256.0
Georgia,GA,32.9866,-83.6487,2006-12-31,3385081272.0
Hawaii,HI,21.1098,-157.5311,2006-12-31,352899977.0
Idaho,ID,44.2394,-114.5103,2006-12-31,467601127.0
Illinois,IL,40.3363,-89.0022,2006-12-31,4879526580.0
Indiana,IN,39.8647,-86.2604,2006-12-31,2271212934.0
Iowa,IA,42.0046,-93.214,2006-12-31,1523025722.0
Kansas,KS,38.5111,-96.8005,2006-12-31,985416174.0
Kentucky,KY,37.669,-84.6514,2006-12-31,1499200583.0
Louisiana,LA,31.1801,-91.8749,2006-12-31,1660398638.0
Maine,ME,44.6074,-69.3977,2006-12-31,427830422.0
Maryland,MD,39.0724,-76.7902,2006-12-31,1573459095.0
Massachusetts,MA,42.2373,-71.5314,2006-12-31,2608631711.0
Michigan,MI,43.3504,-84.5603,2006-12-31,3734005600.0
Minnesota,MN,45.7326,-93.9196,2006-12-31,2322627249.0
Mississippi,MS,32.7673,-89.6812,2006-12-31,1120054323.0
Missouri,MO,38.4623,-92.302,2006-12-31,2455501942.0
Montana,MT,46.9048,-110.3261,2006-12-31,373357573.0
Nebraska,NE,41.1289,-98.2883,2006-12-31,708693051.0
Nevada,NV,38.4199,-117.1219,2006-12-31,452284897.0
New Hampshire,NH,43.4108,-71.5653,2006-12-31,438087063.0
New Jersey,NJ,40.314,-74.5089,2006-12-31,2122576555.0
New Mexico,NM,34.8375,-106.2371,2006-12-31,732575554.0
New York,NY,42.1497,-74.9384,2006-12-31,8196631641.0
North Carolina,NC,35.6411,-79.8431,2006-12-31,2535976395.0
North Dakota,ND,47.5362,-99.793,2006-12-31,350723567.0
Ohio,OH,40.3736,-82.7755,2006-12-31,4122599532.0
Oklahoma,OK,35.5376,-96.9247,2006-12-31,1358397668.0
Oregon,OR,44.5672,-122.1269,2006-12-31,1295029955.0
Pennsylvania,PA,40.5773,-77.264,2006-12-31,5294647339.0
Rhode Island,RI,41.6772,-71.5101,2006-12-31,552904039.0
South Carolina,SC,33.8191,-80.9066,2006-12-31,1374888937.0
South Dakota,SD,44.2853,-99.4632,2006-12-31,385732599.0
Tennessee,TN,35.7449,-86.7489,2006-12-31,1976977392.0
Texas,TX,31.106,-97.6475,2006-12-31,7792289367.0
Utah,UT,40.1135,-111.8535,2006-12-31,767757139.0
Vermont,VT,44.0407,-72.7093,2006-12-31,348958046.0
Virginia,VA,37.768,-78.2057,2006-12-31,2400097845.0
Washington,WA,47.3917,-121.5708,2006-12-31,1718697048.0
West Virginia,WV,38.468,-80.9696,2006-12-31,747262992.0
Wisconsin,WI,44.2563,-89.6385,2006-12-31,1695229913.0
Wyoming,WY,42.7475,-107.2085,2006-12-31,247839567.0
Alabama,AL,32.799,-86.8073,2007-12-31,1774144162.3023155
Alaska,AK,61.385,-152.2683,2007-12-31,305996183.9421146
Arizona,AZ,33.7712,-111.3877,2007-12-31,5864572509.832415
Arkansas,AR,34.9513,-92.3809,2007-12-31,988744640.7514713
California,CA,36.17,-119.7462,2007-12-31,11912567291.204268
Colorado,CO,39.0646,-105.3272,2007-12-31,2029026694.8574886
Connecticut,CT,41.5834,-72.7622,2007-12-31,1081503458.5414424
Delaware,DE,39.3498,-75.5148,2007-12-31,325591740.0968576
District of Columbia,DC,38.9072,-77.037,2007-12-31,853788582.6521485
Florida,FL,27.8333,-81.717,2007-12-31,6267422114.950626
Georgia,GA,32.9866,-83.6487,2007-12-31,3511477351.5380144
Hawaii,HI,21.1098,-157.5311,2007-12-31,342789117.55714333
Idaho,ID,44.2394,-114.5103,2007-12-31,484532926.009973
Illinois,IL,40.3363,-89.0022,2007-12-31,5255753297.891718
Indiana,IN,39.8647,-86.2604,2007-12-31,2486601473.6962805
Iowa,IA,42.0046,-93.214,2007-12-31,1960014303.6780062
Kansas,KS,38.5111,-96.8005,2007-12-31,1038701561.9185973
Kentucky,KY,37.669,-84.6514,2007-12-31,1624990569.6228218
Louisiana,LA,31.1801,-91.8749,2007-12-31,1671183286.2159557
Maine,ME,44.6074,-69.3977,2007-12-31,447461242.2228127
Maryland,MD,39.0724,-76.7902,2007-12-31,1707514008.858193
Massachusetts,MA,42.2373,-71.5314,2007-12-31,2791876591.0046954
Michigan,MI,43.3504,-84.5603,2007-12-31,4194823730.367516
Minnesota,MN,45.7326,-93.9196,2007-12-31,2720416368.321669
Mississippi,MS,32.7673,-89.6812,2007-12-31,1235401453.9949296
Missouri,MO,38.4623,-92.302,2007-12-31,2510828590.359565
Montana,MT,46.9048,-110.3261,2007-12-31,377637340.90338063
Nebraska,NE,41.1289,-98.2883,2007-12-31,750456923.236449
Nevada,NV,38.4199,-117.1219,2007-12-31,548856690.6693194
